1 2000-01-29
2 2000-05-01
3 2000-08-01
4 2000-11-01
5 2001-02-01
6 2001-05-01
7 2001-08-01
8 2001-11-01
9 2002-02-01
10 2002-05-01
11 2002-08-01
12 2002-11-01
13 2003-02-01
14 2003-05-01
15 2003-08-01
16a 2003-10-19
16b 2003-11-18
16c 2004-01-01
17 2004-02-01
18 2004-05-01
19 2004-08-01
20 2004-11-01
21 2005-02-01
22 2005-05-01
23 2005-08-01
24 2005-11-01
25 2006-02-01
26 2006-05-01
27 2006-08-01
28 2006-11-01
29 2007-02-01
30 2007-05-01
31 2007-08-01
32 2007-11-01
33 2008-02-01
34 2008-05-01
35 2008-08-01
36 2008-11-01
37 2009-02-01
38 2009-05-01
39 2009-08-01
40 2009-11-01
41 2010-02-01
42 2010-05-01
43 2010-08-01
44 2010-11-01
45 2011-02-01
46 2011-05-01
47 2011-08-01
48 2011-11-01
49 2012-02-01
50 2012-05-01
51 2012-08-01
52 2012-11-01
53 2013-02-01
54 2013-05-01
55 2013-08-01
56 2013-11-01
57 2014-02-01
58 2014-05-01
59 2014-08-01
60 2014-11-01
61 2015-02-01
62 2015-05-01
63 2015-08-01
64 2015-11-01
65 2016-02-01
66 2016-05-01
67 2016-08-01
68 2016-11-01
69 2017-02-01
70 2017-05-01
71 2017-08-01
72 2017-11-01
73 2018-02-01
74 2018-05-01
75 2018-08-01
76 2018-11-01
77 2019-02-01
78 2019-05-01
79 2019-08-01
80 2019-11-01
81 2020-02-01
